trimestre,segmento,menu,promedio_llamadas,min_llamadas_x_cliente,max_llamadas_x_cliente,total_llamadas
Q03_25,Nacional,SALDOS3_OTRA,1.02,1,2,272
Q03_25,Nacional,RES-TAE,1.59,1,8,251
Q03_25,Nacional,RES_OCULTAVTA,1.02,1,3,237
Q03_25,Nacional,RES-SEGUROSINBURSA,1.21,1,5,127
Q03_25,Nacional,RES-DISH,1.07,1,3,125
Q03_25,Nacional,RES-MADT-MVSHUB,1.02,1,3,112
Q03_25,Nacional,telefono_cMenu,1.21,1,12,111
Q03_25,Nacional,RES-FALLA-MVSHUB,1.13,1,5,98
Q03_25,Nacional,RES-STARTGO,1.18,1,5,97
Q03_25,Nacional,RES-CLARODRIVE,1.1,1,3,55
Q03_25,Nacional,SALDOS1_PAGAR,1.62,1,9,21
Q03_25,Puebla,NUMERO TELMEX,1.66,1,43,52010
Q03_25,Puebla,DESBORDE_CABECERA,1.87,1,41,40896
Q03_25,Puebla,CLIENTE_COLGO,1.33,1,131,39331
Q03_25,Puebla,RES_FALLA_STOP,1.51,1,28,36932
Q03_25,Puebla,RES-CONTRATACIONINFINITUM_2024,1.58,1,110,35754
Q03_25,Puebla,VACIO,1.77,1,50,33856
Q03_25,Puebla,RES-FALLAS_2024,1.49,1,87,32511
Q03_25,Puebla,SINOPCION_CABECERA,1.48,1,22,29509
Q03_25,Puebla,RES-SALDOSPAGOS_2024,1.62,1,40,22770
Q03_25,Puebla,NOTMX-SEGUIMIENTOINSTALACION,1.66,1,26,22448
Q03_25,Puebla,TMX_SOMO,1.27,1,17,17144
Q03_25,Puebla,MARQUE3,1.23,1,29,11325
Q03_25,Puebla,DESBORDE_PROMOCIONAL,1.49,1,87,10776
Q03_25,Puebla,ANI,1.28,1,41,8426
Q03_25,Puebla,NOTMX-CONT-CONTRATACION,1.41,1,36,7347
Q03_25,Puebla,RES-CONTRATACIONINFINITUM_FM,1.61,1,20,7121
Q03_25,Puebla,SALDOCABECERA,1.64,1,28,3497
Q03_25,Puebla,NOTMX_SINOP,1.23,1,20,2999
Q03_25,Puebla,RES-SEGINST_2024,1.32,1,14,2794
Q03_25,Puebla,NOTMX-CONT-PORTABILIDAD,1.25,1,14,2232
Q03_25,Puebla,KIPSOLCOM,1.35,1,9,1938
Q03_25,Puebla,RES-SALDOSPAGOS_FM,1.15,1,4,954
Q03_25,Puebla,telefono_cMenu,1.02,1,5,297
Q03_25,Puebla,SALDOS3_OTRA,1.34,1,5,139
Q03_25,Puebla,SALDOS1_PAGAR,1.0,1,1,2
Q03_25,Puebla,MENUSALDOSCABECERA,1.0,1,1,2
